지점,지점명,일시,SPI3
146,전주,30/12/2023,1.7
146,전주,31/12/2023,1.72
146,전주,01/01/2024,1.77
146,전주,02/01/2024,1.78
146,전주,03/01/2024,1.82
146,전주,04/01/2024,1.82
146,전주,05/01/2024,1.91
146,전주,06/01/2024,1.97
146,전주,07/01/2024,1.96
146,전주,08/01/2024,1.96
146,전주,09/01/2024,2.03
146,전주,10/01/2024,2.16
146,전주,11/01/2024,2.23
146,전주,12/01/2024,2.25
146,전주,13/01/2024,2.24
146,전주,14/01/2024,2.21
146,전주,15/01/2024,2.23
146,전주,16/01/2024,2.2
146,전주,17/01/2024,2.25
146,전주,18/01/2024,2.42
146,전주,19/01/2024,2.36
146,전주,20/01/2024,2.49
146,전주,21/01/2024,2.5
146,전주,22/01/2024,2.55
146,전주,23/01/2024,2.52
146,전주,24/01/2024,2.53
146,전주,25/01/2024,2.55
146,전주,26/01/2024,2.53
146,전주,27/01/2024,2.63
146,전주,28/01/2024,2.61
146,전주,29/01/2024,2.7
146,전주,30/01/2024,2.71
146,전주,31/01/2024,2.73
146,전주,01/02/2024,2.73
146,전주,02/02/2024,2.7
146,전주,03/02/2024,2.74
146,전주,04/02/2024,2.71
146,전주,05/02/2024,2.7
146,전주,06/02/2024,2.73
146,전주,07/02/2024,2.8
146,전주,08/02/2024,2.78
146,전주,09/02/2024,2.52
146,전주,10/02/2024,2.47
146,전주,11/02/2024,2.43
146,전주,12/02/2024,2.5
146,전주,13/02/2024,2.59
146,전주,14/02/2024,2.61
146,전주,15/02/2024,2.59
146,전주,16/02/2024,2.3
146,전주,17/02/2024,2.17
146,전주,18/02/2024,2.38
146,전주,19/02/2024,2.76
146,전주,20/02/2024,2.81
146,전주,21/02/2024,2.96
146,전주,22/02/2024,2.97
146,전주,23/02/2024,2.89
146,전주,24/02/2024,2.96
146,전주,25/02/2024,2.82
146,전주,26/02/2024,2.87
146,전주,27/02/2024,2.76
146,전주,28/02/2024,2.74
146,전주,02/03/2024,2.69
146,전주,03/03/2024,2.66
146,전주,04/03/2024,2.69
146,전주,05/03/2024,2.73
146,전주,06/03/2024,2.66
146,전주,07/03/2024,2.65
146,전주,08/03/2024,2.65
146,전주,09/03/2024,2.61
146,전주,10/03/2024,2.61
146,전주,11/03/2024,2.33
146,전주,12/03/2024,2.34
146,전주,13/03/2024,2.47
146,전주,14/03/2024,2.31
146,전주,15/03/2024,1.53
146,전주,16/03/2024,1.46
146,전주,17/03/2024,1.45
146,전주,18/03/2024,1.43
146,전주,19/03/2024,1.44
146,전주,20/03/2024,1.42
146,전주,21/03/2024,1.4
146,전주,22/03/2024,1.37
146,전주,23/03/2024,1.39
146,전주,24/03/2024,1.29
146,전주,25/03/2024,1.51
146,전주,26/03/2024,1.91
146,전주,27/03/2024,1.86
146,전주,28/03/2024,2.21
146,전주,29/03/2024,2.19
146,전주,30/03/2024,2.19
146,전주,31/03/2024,2.14
146,전주,01/04/2024,2.12
146,전주,02/04/2024,2.14
146,전주,03/04/2024,2.37
146,전주,04/04/2024,2.46
146,전주,05/04/2024,2.44
146,전주,06/04/2024,2.39
146,전주,07/04/2024,2.37
146,전주,08/04/2024,2.35
146,전주,09/04/2024,2.34
146,전주,10/04/2024,2.35
146,전주,11/04/2024,2.38
146,전주,12/04/2024,2.33
146,전주,13/04/2024,2.18
146,전주,14/04/2024,2.08
146,전주,15/04/2024,2.14
146,전주,16/04/2024,2.03
146,전주,17/04/2024,1.87
146,전주,18/04/2024,1.68
146,전주,20/04/2024,1.49
146,전주,21/04/2024,1.54
146,전주,22/04/2024,1.51
146,전주,23/04/2024,1.48
146,전주,24/04/2024,1.48
146,전주,25/04/2024,1.43
146,전주,26/04/2024,1.39
146,전주,27/04/2024,1.35
146,전주,28/04/2024,1.28
146,전주,29/04/2024,1.21
146,전주,30/04/2024,1.18
146,전주,01/05/2024,1.34
146,전주,02/05/2024,1.28
146,전주,03/05/2024,1.2
146,전주,04/05/2024,1.16
